strategy,benchmark,start_date,end_date,observations,initial_capital,final_equity,total_return,cagr,annualised_return,annualised_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_date,max_drawdown_duration_days,hit_rate,average_win,average_loss,win_loss_ratio,profit_factor,best_day,worst_day,skew,kurtosis,var_95,cvar_95,var_99,cvar_99,average_daily_turnover,median_daily_turnover,max_daily_turnover,annualised_turnover,total_transaction_cost_drag,average_daily_transaction_cost,annualised_transaction_cost_drag,average_exposure,max_exposure,min_exposure,average_cash,ablation_type,rebalance,alpha_daily,alpha_annualised,beta,r_squared,correlation,tracking_error,information_ratio,alpha_t_stat,beta_t_stat,information_ratio_active
momentum_x_volatility_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,17141.565454101117,0.7141565454101118,0.05234112908395816,0.051462748897283285,0.02966842592319373,1.7345965381011845,1.5281938440724232,1.4950718727365946,-0.03500910560784776,2021-09-21,191,0.8069120961682945,0.000731705641341978,-0.0020001505409739917,0.36582528482364496,1.528779594943948,0.011754473711194776,-0.02046020372743361,-0.7134153394163821,13.287244338044598,-0.002561240199686264,-0.004633641263679824,-0.005750453358639655,-0.008480704763041289,0.007933884297520661,0.0,0.62,1.9993388429752066,0.021120000000000003,7.933884297520663e-06,0.0019993388429752072,0.12974455296769347,0.62,0.0,0.8702554470323065,model,monthly,0.00018796688234854427,0.04850275941932414,0.048089099396647364,0.07704810597946399,0.2775754059340706,0.02850257111000515,1.7016976900830674,5.397677436846574,14.901578303800447,-0.20360284378371407
signal_x_risk_modifier_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,23198.27382491379,1.319827382491379,0.08291932536109226,0.08092008918269658,0.04998056962959979,1.6190309510753076,1.583449846209968,1.4931231142392878,-0.05553415158490649,2021-07-19,160,0.7592036063110443,0.0012723417030644027,-0.0026780091451398948,0.47510730326424544,1.4979592198081746,0.041505486887536976,-0.0295346455367265,0.5023057429947217,26.85437658085285,-0.003749617043471249,-0.007275817033057495,-0.008934788707774538,-0.013761376472227737,0.009428878734721102,0.0,0.64,2.3760774411497176,0.025099675191827573,9.428878734721102e-06,0.0023760774411497178,0.18849725273284135,0.62,0.0,0.8115027472671587,model,monthly,0.00028596189352849587,0.07471133031907473,0.10401675149017121,0.1270170025714542,0.35639444800873954,0.04669862508530028,1.5998614559337903,5.012030410130818,19.672921343346946,-0.026413288775715416
momentum_x_risk_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,25461.82024019382,1.546182024019382,0.09250590861232943,0.09011488424989131,0.05706761544286942,1.5790897087702154,1.7080111521346453,1.883146399884533,-0.049123057356561084,2020-03-19,184,0.7310293012772352,0.0015744272616712409,-0.0029495916014469297,0.5337780528324333,1.4507431435920606,0.041505486887536976,-0.030817034326760334,0.5303456098934085,16.560760532581643,-0.004625951810780319,-0.008348833805626387,-0.010210566663052945,-0.014474117166268521,0.011547697872906295,0.0,0.8599858688382789,2.910019863972386,0.030739971737676557,1.1547697872906295e-05,0.0029100198639723865,0.19454318148997587,0.62,0.0,0.8054568185100242,model,monthly,0.0003166549105074653,0.08305354271388454,0.12116349327575823,0.1321970640325466,0.36358914179681795,0.05316187422131671,1.5622764232902449,4.875235182396642,20.129879064616144,0.03106556775845666
risk_only_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,31170.71620580596,2.117071620580596,0.11362986020225674,0.11217279963663458,0.09507769215133337,1.1798014560354626,1.5944297592883971,0.9980189042576333,-0.11385541868746385,2022-10-28,408,0.5518407212622088,0.004327983632627666,-0.00433601967948765,0.998146676571142,1.2290674500276677,0.026256815189711093,-0.04626342916510176,-0.45780786175587834,4.433053794762393,-0.009270238290573952,-0.013704732573925463,-0.015098232659752398,-0.022736961564885732,0.016670838310015017,0.0,1.0360713593989166,4.201051254123785,0.04437777158125998,1.6670838310015018e-05,0.004201051254123784,0.6844751102675897,0.9688436073406614,0.0,0.31552488973241033,model,monthly,0.0003232694710642353,0.08485977840569414,0.36061756035348813,0.42188508224205656,0.6495268141055124,0.07229124753887356,1.1738596482245245,3.6600633339691653,44.05861236218917,0.20590884719320304
full_v0_normalised_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,28876.71704326166,1.887671704326166,0.10560008991898395,0.10449408671296355,0.09033678032565085,1.1567169688390233,1.538929168583255,0.8706544473886104,-0.12128817607917197,2018-09-14,789,0.5492111194590533,0.0041063045996312915,-0.0040829957241555895,1.0057087680346573,1.2252885157222242,0.02680717506178221,-0.0435431914179919,-0.5308296071125619,4.8110343066755945,-0.008702958992013773,-0.01312069279497503,-0.01450030602599007,-0.022299887419889388,0.012373911689883192,0.0,0.9158166374334173,3.1182257458505642,0.032939352918469056,1.237391168988319e-05,0.003118225745850564,0.684392472037099,0.9924656243544779,0.0,0.31560752796290104,model,monthly,0.0003010551398459673,0.07880557238359098,0.33618367780110525,0.4061455715354765,0.6372955135064708,0.06961528534685353,1.1320153611516128,3.5395745677052433,42.65222383782793,0.14506848953819762
volatility_only_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,27295.081588198766,1.7295081588198764,0.09972024304500104,0.09873208759182203,0.08551693405860201,1.1545325926226975,1.6106597585139777,0.7080132744305264,-0.14084516017755266,2022-10-19,494,0.549962434259955,0.004005594493248273,-0.004024402933578679,0.9953264022910151,1.2163254198280853,0.034936811901502274,-0.033584713144103655,-0.3260778315536974,3.0106347047685764,-0.00835989959978755,-0.012224245055062224,-0.014577144280750532,-0.019574059607292114,0.006490381733712034,0.0,0.8,1.6355761968954325,0.017277396175141436,6.490381733712035e-06,0.0016355761968954328,0.7446879778399297,0.8851230437069908,0.0,0.2553120221600703,model,monthly,0.0002802076833140415,0.07315450309461213,0.330213015820735,0.4372620844997205,0.6612579560955922,0.06415126297944079,1.1403439261680117,3.575069227631382,45.463057524322664,0.10329886015275021
full_v0_old_raw_weights_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,29789.01089809312,1.978901089809312,0.10886029852128565,0.10809376439795941,0.09728775238436856,1.1110726864250908,1.4564079267438672,0.8408860612864697,-0.12945903557342897,2020-03-19,785,0.5492111194590533,0.004390758402294633,-0.004397867634853273,0.998383481916941,1.2163638754688064,0.037273728895240686,-0.04190724749928735,-0.5444309134172229,5.2278760402517115,-0.009068696969926208,-0.014257350967986098,-0.01739959375967337,-0.025273723296109857,0.009960980865226935,0.0,0.7999999999999999,2.5101671780371877,0.026516131063234104,9.960980865226936e-06,0.0025101671780371876,0.7616726252690295,0.9999999999999999,0.0,0.23832737473097054,model,monthly,0.00029978468203767296,0.07846034596778173,0.3822146641914726,0.4526432417788294,0.6727876647047192,0.07197694549791536,1.0900760712338669,3.408989417486904,46.90116129812656,0.17925654735171279
momentum_trend_volatility_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,31055.53839697685,2.105553839697685,0.11323966412093833,0.11441419163497815,0.11905293173680331,0.9610363219607202,1.1366957441161827,0.7444808041846257,-0.15210555260046132,2023-12-11,673,0.564237415477085,0.004813057363870728,-0.00519017134073007,0.9273407461715327,1.200746379956588,0.04711090435431959,-0.0715699365520852,-0.9486601650348786,9.77396091472256,-0.01060190843925705,-0.018382350435355337,-0.02241953467628004,-0.034387018120409764,0.016646955240037665,0.0,1.0923430401455114,4.1950327204894915,0.04431419484898026,1.6646955240037664e-05,0.004195032720489491,0.6055134935698774,1.0,0.0,0.3944865064301226,model,monthly,0.00029967570033200697,0.0784307370721502,0.45675857030290434,0.4316690491221734,0.6570152579066741,0.08975130016249547,0.8738674195265217,2.7328790267702328,44.94854309422826,0.22633702346049234
momentum_trend_risk_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,32897.11889554503,2.2897118895545026,0.11932729206854709,0.12105499068013871,0.12859286268065243,0.9413818788743099,1.1387045438064642,0.622259107099807,-0.19176463744291594,2023-12-11,696,0.5510894064613073,0.005359211314416692,-0.00550895361083978,0.9728183776809365,1.1942464937723296,0.055905726041380645,-0.07077748885729533,-0.8432709714994348,9.54313980043675,-0.01146958435258602,-0.01966415263487481,-0.022900478420605472,-0.036737282847763265,0.019042247384016126,0.0,1.0190881185650045,4.798646340772064,0.050690462536250924,1.9042247384016126e-05,0.0047986463407720635,0.6247008214109249,1.0,0.0,0.37529917858907513,model,monthly,0.00030744666353108165,0.08054403638394136,0.5117458215595811,0.46444316035795474,0.6815006679071964,0.09410650608428103,0.8558816997393015,2.673989897757624,48.02908567225789,0.28516822330956887
gold_only_monthly,,2015-11-13,2026-06-17,2662,10000,38155.088967967116,2.815508896796712,0.13514947155668366,0.13988734714889753,0.1615555392789783,0.8658777518444379,1.1463072386776476,0.5524284378005753,-0.2446461157842713,2026-06-10,897,0.5398196844477836,0.007172865290291277,-0.0072553069357093065,0.988637056137175,1.167355340730584,0.06358720612372104,-0.10274245274560034,-0.5246525584332294,7.238521518647582,-0.015639770031796674,-0.023600285372456398,-0.029557261191309574,-0.039783475524475566,0.0003756574004507889,0.0,1.0,0.0946656649135988,0.001,3.756574004507889e-07,9.466566491359879e-05,0.9958677685950413,1.0,0.0,0.004132231404958664,benchmark,monthly,,,,,,,,,,
trend_only_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,27027.765023035612,1.702776502303561,0.09869612677579176,0.10421128292320138,0.1414704493025591,0.7366293345144291,0.884157198958529,0.375618950863573,-0.26275598328807104,2024-01-22,841,0.558602554470323,0.005734630197232247,-0.0063204766325096065,0.907309769604394,1.1482294701291353,0.060583616882699004,-0.10747104915947435,-1.0780453074415686,13.171470037731453,-0.012829092503213523,-0.021460556498316984,-0.02403821585123356,-0.03903805762245463,0.016013484026545812,0.0,0.9859907170335729,4.035397974689545,0.04262789447866496,1.6013484026545814e-05,0.004035397974689545,0.6492858421115214,1.0,0.0,0.3507141578884786,model,monthly,0.00021789988025256986,0.056440024296241065,0.5789407908504242,0.49112780751161556,0.7008051137881454,0.10091833867013687,0.5592643026033329,1.7672440431449443,50.66799521625895,0.15362945041984954
momentum_trend_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,25807.448284329064,1.5807448284329064,0.09390125458723908,0.10026601972387811,0.14448718791180742,0.6939440179642699,0.8337831833459571,0.35345582412309107,-0.2656661686653604,2024-01-22,842,0.5492111194590533,0.005863702318166671,-0.00626131123797379,0.9364974995340132,1.140966120265606,0.06317937435601319,-0.10681108608160551,-0.9870948591236349,12.958838176062992,-0.013007253222648537,-0.02217097143129938,-0.026519247243551803,-0.04041023830124592,0.0194877061629094,0.0,1.127812402709328,4.91090195305317,0.05187627380566484,1.9487706162909406e-05,0.00491090195305317,0.6176133198003183,1.0,0.0,0.3823866801996817,model,monthly,0.00019847259388922598,0.05128174686169307,0.5901015840867977,0.48916184413001784,0.6994010610014956,0.10326924523228147,0.49658295406678,1.573037840948231,50.469086141744384,0.12100539398629345
momentum_only_monthly,equal_weight_monthly,2015-11-13,2026-06-17,2662,10000,24660.201589729524,1.4660201589729525,0.08920247849727891,0.0951463778180756,0.13871026219304725,0.6859361110979484,0.8058435862480853,0.3806024849764204,-0.23437177112179208,2020-03-19,774,0.560480841472577,0.005464598770432212,-0.006109490050028719,0.8944443358912622,1.1406076488459513,0.05209981874523986,-0.1067469295657638,-1.1911578900505106,14.253383782343821,-0.012757516255080209,-0.021423522725355724,-0.025163025246694382,-0.03941683920167576,0.025474097160165538,0.0,1.26731083611453,6.419472484361716,0.06781204664036067,2.547409716016554e-05,0.006419472484361716,0.5726526686922493,1.0,0.0,0.4273473313077507,model,monthly,0.00019039320493398693,0.04914392361184006,0.5538901435138556,0.4676142944589202,0.6838232918370946,0.10120961801779926,0.48556574537409425,1.539711261124943,48.33608976963903,0.07878165339857275
equal_weight_monthly,,2015-11-13,2026-06-17,2662,10000,21047.604465725293,1.1047604465725294,0.07299128855047199,0.08515639920126326,0.1712493157987804,0.49726563171395594,0.6872690085988069,0.20734769954842477,-0.35202362364973006,2020-04-28,823,0.5270473328324567,0.007819054428429782,-0.00799887562825169,0.9775191904238657,1.0893244036256422,0.056559069099780285,-0.06762739251855611,-0.36152609483560666,3.7923841621315146,-0.016720521357780283,-0.024910481607988352,-0.028643769755023574,-0.041672754238369254,0.00037565740045078885,0.0,0.9999999999999999,0.09466566491359879,0.0009999999999999998,3.756574004507888e-07,9.466566491359878e-05,0.9958677685950411,0.9999999999999999,0.0,0.004132231404958886,benchmark,monthly,,,,,,,,,,
cash_monthly,,2015-11-13,2026-06-17,2662,10000,15133.226927213202,0.5133226927213201,0.039999999999982716,0.03922376542339823,0.0,,,,0.0,2015-11-13,0,1.0,0.0001556498627912628,,,,0.0001556498627912628,0.0001556498627912628,0.0,0.0,0.0001556498627912628,0.0001556498627912628,0.0001556498627912628,0.0001556498627912628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,benchmark,monthly,,,,,,,,,,
